pathway,selected_representative,is_representative,jaccard_to_representative,shared_genes_with_representative
Glycogen storage diseases,Glycogen storage diseases,True,1.0,12
Metabolism of amino acids and derivatives,Metabolism of amino acids and derivatives,True,1.0,255
Cholesterol biosynthesis,Cholesterol biosynthesis,True,1.0,24
Regulation of expression of SLITs and ROBOs,Metabolism of amino acids and derivatives,False,0.35517241379310344,103
Lanosterol biosynthesis,Cholesterol biosynthesis,False,0.5,12
PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA,Metabolism of amino acids and derivatives,False,0.2824427480916031,74
Peptide chain elongation,Metabolism of amino acids and derivatives,False,0.2824427480916031,74
Eukaryotic Translation Elongation,Metabolism of amino acids and derivatives,False,0.2792452830188679,74
Viral mRNA Translation,Metabolism of amino acids and derivatives,False,0.2835249042145594,74
Response of EIF2AK4 (GCN2) to amino acid deficiency,Metabolism of amino acids and derivatives,False,0.2740740740740741,74
Eukaryotic Translation Termination,Metabolism of amino acids and derivatives,False,0.2792452830188679,74
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),Metabolism of amino acids and derivatives,False,0.27611940298507465,74
Selenocysteine synthesis,Metabolism of amino acids and derivatives,False,0.3038461538461538,79
Formation of a pool of free 40S subunits,Metabolism of amino acids and derivatives,False,0.27205882352941174,74
ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA,Metabolism of amino acids and derivatives,False,0.275092936802974,74
Selenoamino acid metabolism,Metabolism of amino acids and derivatives,False,0.34615384615384615,90
SRP-dependent cotranslational protein targeting to membrane,Metabolism of amino acids and derivatives,False,0.2624113475177305,74
L13a-mediated translational silencing of Ceruloplasmin expression,Metabolism of amino acids and derivatives,False,0.26334519572953735,74
SARS-CoV-1 modulates host translation machinery,SARS-CoV-1 modulates host translation machinery,True,1.0,33
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),SARS-CoV-1 modulates host translation machinery,False,0.3047619047619048,32
Nonsense-Mediated Decay (NMD),SARS-CoV-1 modulates host translation machinery,False,0.3047619047619048,32
GTP hydrolysis and joining of the 60S ribosomal subunit,SARS-CoV-1 modulates host translation machinery,False,0.3137254901960784,32
Cap-dependent Translation Initiation,SARS-CoV-1 modulates host translation machinery,False,0.29357798165137616,32
Eukaryotic Translation Initiation,SARS-CoV-1 modulates host translation machinery,False,0.29357798165137616,32
Attenuation phase,Attenuation phase,True,1.0,23
Influenza Viral RNA Transcription and Replication,SARS-CoV-1 modulates host translation machinery,False,0.2601626016260163,32
Ribosome-associated quality control,Metabolism of amino acids and derivatives,False,0.3626760563380282,103
Major pathway of rRNA processing in the nucleolus and cytosol,Major pathway of rRNA processing in the nucleolus and cytosol,True,1.0,165
rRNA processing,Major pathway of rRNA processing in the nucleolus and cytosol,False,0.8776595744680851,165
Heme signaling,Heme signaling,True,1.0,40
"Expression of BMAL (ARNTL), CLOCK, and NPAS2",Heme signaling,False,0.7804878048780488,32
Interferon alpha/beta signaling,Interferon alpha/beta signaling,True,1.0,53
"BMAL1:CLOCK,NPAS2 activates circadian expression",Heme signaling,False,0.34782608695652173,16
Cohesin Loading onto Chromatin,Cohesin Loading onto Chromatin,True,1.0,10
Diseases of carbohydrate metabolism,Glycogen storage diseases,False,0.46153846153846156,12
Glycogen metabolism,Glycogen storage diseases,False,0.38461538461538464,10
Mitotic Telophase/Cytokinesis,Cohesin Loading onto Chromatin,False,0.9090909090909091,10
Gluconeogenesis,Gluconeogenesis,True,1.0,14
Glycosphingolipid catabolism,Glycosphingolipid catabolism,True,1.0,25
RAC3 GTPase cycle,RAC3 GTPase cycle,True,1.0,76
Vif-mediated degradation of APOBEC3G,Vif-mediated degradation of APOBEC3G,True,1.0,38
RHOD GTPase cycle,RAC3 GTPase cycle,False,0.25263157894736843,24
Interferon Signaling,Interferon Signaling,True,1.0,253
Glycosphingolipid metabolism,Glycosphingolipid catabolism,False,0.6578947368421053,25
"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation","Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",True,1.0,44
Sulfur amino acid metabolism,Sulfur amino acid metabolism,True,1.0,22
Citric acid cycle (TCA cycle),Citric acid cycle (TCA cycle),True,1.0,30
Amino acid transport across the plasma membrane,Amino acid transport across the plasma membrane,True,1.0,24
Signaling by TGF-beta Receptor Complex,Signaling by TGF-beta Receptor Complex,True,1.0,69
Translation,Translation,True,1.0,268
Vpu mediated degradation of CD4,Vif-mediated degradation of APOBEC3G,False,0.825,33
Diseases associated with the TLR signaling cascade,Diseases associated with the TLR signaling cascade,True,1.0,19
Cross-presentation of soluble exogenous antigens (endosomes),Vif-mediated degradation of APOBEC3G,False,0.6590909090909091,29
SLC-mediated transport of amino acids,Amino acid transport across the plasma membrane,False,0.8518518518518519,23
Defective pyroptosis,Defective pyroptosis,True,1.0,11
Constitutive Signaling by Aberrant PI3K in Cancer,Constitutive Signaling by Aberrant PI3K in Cancer,True,1.0,44
DNA Double Strand Break Response,Vif-mediated degradation of APOBEC3G,False,0.4594594594594595,34
Spry regulation of FGF signaling,Spry regulation of FGF signaling,True,1.0,12
ESR-mediated signaling,ESR-mediated signaling,True,1.0,109
SARS-CoV-2-host interactions,SARS-CoV-2-host interactions,True,1.0,159
Degradation of GLI1 by the proteasome,Vif-mediated degradation of APOBEC3G,False,0.7906976744186046,34
FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,Vif-mediated degradation of APOBEC3G,False,0.8095238095238095,34
Aerobic respiration and respiratory electron transport,Aerobic respiration and respiratory electron transport,True,1.0,168
Regulation of activated PAK-2p34 by proteasome mediated degradation,Vif-mediated degradation of APOBEC3G,False,0.868421052631579,33
Respiratory electron transport,Aerobic respiration and respiratory electron transport,False,0.5964912280701754,102
Mitochondrial protein degradation,Mitochondrial protein degradation,True,1.0,69
Complex IV assembly,Complex IV assembly,True,1.0,24
Signaling by TGFB family members,Signaling by TGF-beta Receptor Complex,False,0.6509433962264151,69
Signaling by PDGF,Signaling by PDGF,True,1.0,40
GLI3 is processed to GLI3R by the proteasome,Vif-mediated degradation of APOBEC3G,False,0.7906976744186046,34
Defective B3GALT6 causes EDSP2 and SEMDJL1,Defective B3GALT6 causes EDSP2 and SEMDJL1,True,1.0,19
Developmental Lineage of Pancreatic Endocrine Mid Progenitor Cells,Developmental Lineage of Pancreatic Endocrine Mid Progenitor Cells,True,1.0,18
Developmental Lineage of Pancreatic Ductal Cells,Developmental Lineage of Pancreatic Endocrine Mid Progenitor Cells,False,0.8888888888888888,16
Degradation of GLI2 by the proteasome,Vif-mediated degradation of APOBEC3G,False,0.8095238095238095,34
Sphingolipid metabolism,Glycosphingolipid catabolism,False,0.38461538461538464,25
Degradation of CRY and PER proteins,Vif-mediated degradation of APOBEC3G,False,0.7555555555555555,34
Nucleotide catabolism,Nucleotide catabolism,True,1.0,25
Antimicrobial mechanism of IFN-stimulated genes,Interferon Signaling,False,0.669260700389105,172
Proteasome assembly,Vif-mediated degradation of APOBEC3G,False,0.5370370370370371,29
Signaling by BMP,Signaling by BMP,True,1.0,20
DNA Damage Recognition in GG-NER,DNA Damage Recognition in GG-NER,True,1.0,30
"Defective B4GALT7 causes EDS, progeroid type",Defective B3GALT6 causes EDSP2 and SEMDJL1,False,0.9473684210526315,18
Diseases of Immune System,Diseases associated with the TLR signaling cascade,False,0.8260869565217391,19
