planned_sheet,status,durable_source,audit_note
Dataset_manifest,COMPLETE,publication/source_data/dataset_manifest.csv,updated cohort-role manifest
PD_replication,COMPLETE,publication/source_data/original_replication/PD_discovery_replication_frozen_source_data.csv,exact frozen release-notebook source values; PD replication effect vector also preserved
AD_primary_replication,COMPLETE_WITH_REPRO_LIMITATION,publication/source_data/original_replication/AD_primary_replication_frozen_source_data.csv,exact archival figure-source summary retained; archival 28-cluster cell partition unavailable
AD_secondary_replication,COMPLETE,publication/source_data/original_replication/AD_secondary_replication_frozen_source_data.csv,exact frozen release-notebook source values
AD_PD_original_pair,COMPLETE,publication/source_data/cross_cohort_gene_effects/AD174__PD243__Astro.csv.gz + pathway_multimodal/cross_disease/AD_PD_CONVERGENCE_SUMMARY_v2.csv,original pair retained
AD_PD_2x2_matrix,COMPLETE,publication/source_data/glial_cross_cohort_matrix.csv,16 comparisons
External_pair_bootstrap,COMPLETE,publication/source_data/independent_pair_donor_bootstrap_summary.csv,B=500 summaries plus draws
Reactome_all,COMPLETE,publication/source_data/pathway_multimodal/cross_disease/AD_PD_REACTOME_V97_PATHWAY_CONVERGENCE_v1.csv.gz,complete pathway table
Reactome_R2_R3,COMPLETE,publication/source_data/pathway_multimodal/final_evidence/RETINA_ND_REACTOME_UNIQUE_PATHWAY_RANKING_v5.csv,R1=0 R2=29 R3=665 verified
Reactome_representatives,COMPLETE,publication/source_data/pathway_multimodal/final_evidence/RETINA_ND_REACTOME_NONREDUNDANT_REPRESENTATIVES_v6.csv,268 representatives
Retina_expression_gate,COMPLETE,publication/source_data/pathway_multimodal/ocular_inputs/GSE148077_BRAIN_CONVERGENCE_RETINAL_EXPRESSION_SUMMARY_v1.csv.gz,14469/17745 detected >=2 donors
AD_retina_PXD073336,COMPLETE,publication/source_data/pathway_multimodal/ocular_inputs/PXD073336_AD_RETINA_INTERNAL_GENE_EFFECTS_v1.csv.gz,original AD retinal proteomics
PD_aqueous,COMPLETE,publication/source_data/pathway_multimodal/ocular_inputs/Wolf_PD_AQUEOUS_HUMOR_WELCH_GENE_EFFECTS_v3.csv.gz,"aqueous humor, not retina"
Candidate_prioritization,COMPLETE,publication/source_data/pathway_multimodal/final_evidence/RETINA_ND_UNIQUE_GENE_CANDIDATE_RANKING_v4.csv,17745 unique genes; top eight verified
Candidate_pathway_map,COMPLETE_WITH_KNOWN_ONE_ROW_DRIFT,publication/source_data/pathway_multimodal/final_evidence/RETINA_ND_CANDIDATE_REACTOME_MAP_v5.csv,69296 regenerated vs archival assertion 69297; downstream Figure 5 checks passed
AD_retina_PXD040225,COMPLETE,publication/source_data/pxd040225_ad_retina/PXD040225_manuscript_candidate_overlap.csv,ITGAM only prespecified candidate overlap
Vascular_summary,COMPLETE,publication/source_data/vascular/vascular_comparison_summary.csv,exploratory only
GSE157827_cluster_sensitivity,COMPLETE,publication/source_data/gse157827_clustering_sensitivity/cell_count_robustness.csv,do not claim archival partition recovery
GSE157827_effect_sensitivity,COMPLETE,publication/source_data/gse157827_clustering_sensitivity/donor_effect_robustness.csv + ad_replication_clustering_sensitivity.csv,OPC less stable; replication conclusion robust
Analysis_provenance,COMPLETE,publication/source_data/analysis_provenance.csv,unified durable provenance index
